SIGLA,NOME,CURSO,CAT,PER,SEM,AN,HOR,CH,REQ,EQV,COREQ
ECOM11A,PROGRAMAÇÃO FUNCIONAL,ECO,EQUIVALENTE,2,0,SIM,2M23 4M45,16,-,-,-
ECOP02A,ESTRUTURAS DE DADOS,ECO,EQUIVALENTE,2,0,SIM,2M45 4M23,64,ECOP11A,-,-
ECOP04,PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,1,NÃO,2M45,32,ECOP11A,-,-
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,0,NÃO,2M23 3M45,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,0,NÃO,6M23,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,0,NÃO,6M45,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,0,NÃO,3M45 5M23,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,0,NÃO,5M45,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,1,NÃO,2T34 4T12,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,1,NÃO,3T12,32,-,-,ECOP04
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,EQUIVALENTE,2,1,NÃO,3T34,32,-,-,ECOP04
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,0,NÃO,4M23 6M45,64,-,-,-
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,0,NÃO,46M23,64,-,-,-
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,0,NÃO,3T12 5T34,64,-,-,-
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,0,NÃO,2N34 4N12,64,-,-,-
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,0,NÃO,45T34,64,-,-,-
FIS210,FÍSICA I,FIS,EQUIVALENTE,2,1,NÃO,5M45 6M23,64,-,-,-
FIS203,FÍSICA GERAL I,FIS,EQUIVALENTE,2,1,SIM,46T12,64,-,-,-
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4T34 6T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,3M45,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,2T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,5M23,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4M23,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4M45,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4N12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,3T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,5T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,5T34,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,6M23,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,6M45,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,6T34,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,4T34,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,3N12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,2M45,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,0,NÃO,2T34,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,1,NÃO,5T12,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,1,NÃO,5T34,32,-,-,FIS210 OU FIS203
FIS212,FÍSICA EXPERIMENTAL I,FIS,EQUIVALENTE,2,1,NÃO,3N12,32,-,-,FIS210 OU FIS203
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,0,NÃO,2T34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,0,NÃO,3M45,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,0,NÃO,6M45,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,0,NÃO,4N12,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,3N34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,4T34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,2T12,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,4T12,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,3M45,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,3T34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,4M45,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,3T12,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,5T34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,2N34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,2T34,32,-,-,-
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,EQUIVALENTE,2,1,NÃO,2N12,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,0,NÃO,2T34,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,0,NÃO,3T34,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,0,NÃO,4T34,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,1,NÃO,2T12,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,1,NÃO,2T34,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,1,NÃO,4T12,32,-,-,-
HUMI02,LÍNGUA PORTUGUESA I,LET,EQUIVALENTE,2,1,NÃO,4T34,32,-,-,-
MAT00D,EQUAÇÕES DIFERENCIAIS A,MAT,EQUIVALENTE,2,0,NÃO,3N34 6N12,64,MAT00A,-,-
MAT00D,EQUAÇÕES DIFERENCIAIS A,MAT,EQUIVALENTE,2,0,NÃO,3T34 5T12,64,MAT00A,-,-
ECOP13A,PROGRAMAÇÃO ORIENTADA A OBJETOS,ECO,EQUIVALENTE,3,1,NÃO,4T34 6T12,64,ECOP11A,-,-
ECOP13A,PROGRAMAÇÃO ORIENTADA A OBJETOS,ECO,EQUIVALENTE,3,0,NÃO,3T12 5T34,64,ECOP11A,-,-
ECOP13A,PROGRAMAÇÃO ORIENTADA A OBJETOS,ECO,EQUIVALENTE,3,0,NÃO,3T34 5T12,64,ECOP11A,-,-
ELTA01A,ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,0,NÃO,35T34,64,ELTA00A E ELTA10A,-,-
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,1,NÃO,3T34,32,-,-,ELTA01A
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,1,NÃO,5T12,32,-,-,ELTA01A
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,1,NÃO,5T34,32,-,-,ELTA01A
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,0,NÃO,4M23,32,-,-,ELTA01A
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,EQUIVALENTE,3,0,NÃO,4M45,32,-,-,ELTA01A
ELTD01A,ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,4T34,32,ECOM00 E ECOM10,-,-
ELTD01A,ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,5T12,32,ECOM00 E ECOM10,-,-
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,1,NÃO,5T34,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,1,NÃO,6T34,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,1,NÃO,6T2,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,2M23,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,2M45,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,3M23,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,3M45,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,4M23,16,-,-,ELTD01A
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,EQUIVALENTE,3,0,NÃO,4M45,16,-,-,ELTD01A
FIS320,FÍSICA II B,FIS,EQUIVALENTE,3,1,SIM,4T12,32,FIS210 OU FIS203,-,-
FIS320,FÍSICA II B,FIS,EQUIVALENTE,3,1,SIM,5M45,32,FIS210 OU FIS203,-,-
FIS322,FÍSICA EXPERIMENTAL II B,FIS,EQUIVALENTE,3,1,SIM,3M45,16,FIS212,-,FIS320
